channel_name,subscribers,category,views_counts,video_count,started_year,revenue
YRF,56800000,Film & Animation,37545079015,3843,2006,938626975.0
Tips Official,62000000,Music,35324377300,5093,2007,883109432.0
Vijay Television,21800000,Entertainment,33261234887,57945,2007,831530872.0
Infobells  Hindi,56900000,Education,32804274867,608,2014,820106872.0
TSeries Bhakti Sagar,64100000,Music,31453062173,26707,2011,786326554.0
Sony Music India,58400000,Music,29919897899,4132,2009,747997447.0
Speed Records,43000000,Music,27487097366,11104,2012,687177434.0
Aaj Tak,59700000,News & Politics,27056790361,312396,2009,676419759.0
Aditya Music India,29200000,Music,26967421316,22027,2008,674185533.0
Goldmines,91600000,Film & Animation,26313512673,7098,2012,657837817.0
KL BRO Biju Rithvik,33900000,Entertainment,26055972847,2082,2020,651399321.0
Sun TV,25200000,People & Blogs,24802399903,71475,2016,620059998.0
TSeries Bollywood Classics,37300000,Music,24001998548,2029,2012,600049964.0
etvteluguindia,19900000,Entertainment,23957284940,131205,2010,598932124.0
Shemaroo,49800000,Entertainment,23389753677,11298,2007,584743842.0
Shorts Break,32600000,Comedy,22128396564,518,2021,553209914.0
TSeries Apna Punjab,35300000,Music,22118434190,7940,2011,552960855.0
Dushyant kukreja,33800000,Entertainment,20569250056,988,2015,514231251.0
ZEE5,14700000,Entertainment,19052524551,106692,2018,476313114.0
Zee News,32900000,News & Politics,18895759663,194327,2007,472393992.0
infobells  Tamil,30100000,Education,18636898237,587,2014,465922456.0
Mazhavil Manorama,16700000,Entertainment,17910342953,94859,2011,447758574.0
Goldmines Gaane Sune Ansune,39700000,Music,17582904246,3628,2015,439572606.0
IndiaTV,37300000,News & Politics,17443383075,286073,2006,436084577.0
WowKidz,33500000,Film & Animation,17369611464,5204,2015,434240287.0
Worldwide Records Bhojpuri,32700000,Music,16983008674,6720,2012,424575217.0
Jkk Entertainment,37400000,Comedy,16588028826,225,2017,414700721.0
Tarang TV,8170000,Entertainment,16469272283,53345,2012,411731807.0
Dangal TV Channel,24900000,Entertainment,16098138242,23773,2017,402453456.0
Ultra Bollywood,37600000,Trailers,15971421110,9458,2009,399285528.0
Asianet,9830000,Entertainment,15905253732,121758,2008,397631343.0
infobells  Telugu,30000000,Education,15790890407,537,2014,394772260.0
Rajshri,34500000,Music,15644554687,4027,2006,391113867.0
Ishaan Ali 11,25600000,People & Blogs,15069538913,1065,2016,376738473.0
Gulshan Kalra,30600000,Howto & Style,14160344464,573,2018,354008612.0
ABP NEWS,38700000,People & Blogs,14126308378,328909,2012,353157709.0
Priyal Kukreja,24500000,People & Blogs,14069915253,873,2021,351747881.0
ETV Jabardasth,14300000,People & Blogs,14013713800,10440,2015,350342845.0
BehindwoodsTV,13600000,Entertainment,13444438727,59458,2010,336110968.0
LittleGlove,13400000,People & Blogs,13223574473,1784,2020,330589362.0
Kashvi Adlakha,16000000,Entertainment,13085844834,1634,2017,327146121.0
Geet MP3,34600000,Music,13078727096,684,2016,326968177.0
Taarak Mehta Ka Ooltah Chashmah,18800000,Entertainment,12830209316,5883,2014,320755233.0
Lahari Music  TSeries,17200000,Music,12311500277,9037,2011,307787507.0
LIV Crime,23100000,People & Blogs,12291035723,11565,2020,307275893.0
Flowers Comedy,12900000,Entertainment,12270015856,12588,2015,306750396.0
Neetu Bisht,17900000,Entertainment,12148108888,1558,2011,303702722.0
Apu Alone,9960000,Comedy,12014277805,3614,2021,300356945.0
TV9 Bharatvarsh,17100000,People & Blogs,11951659305,325082,2018,298791483.0
SEVENGERS,15500000,Comedy,11526406465,971,2018,288160162.0
KHANDESHI MOVIES,33500000,Comedy,11517757950,224,2013,287943949.0
Bobby chourasiya,22000000,People & Blogs,11485856251,477,2019,287146406.0
Azhan5star,25700000,Entertainment,11406385348,738,2021,285159634.0
The Lallantop,26400000,News & Politics,11342909138,54913,2015,283572728.0
White Hill Music,23300000,Entertainment,11296470625,6333,2014,282411766.0
Polimer News,9380000,News & Politics,11098680852,211944,2014,277467021.0
Aditya Movies,30200000,Movies,11076913864,6025,2012,276922847.0
Sony Music South,16200000,Music,11069189536,2988,2014,276729738.0
Family Fitness,13000000,Entertainment,10754023710,1841,2017,268850593.0
Tilak,26300000,Film & Animation,10662056366,8025,2020,266551409.0
Heroindori,27800000,Comedy,10577441018,524,2020,264436025.0
Cheri's World,16300000,People & Blogs,10564326702,949,2014,264108168.0
The Vishal bhatt,15600000,Comedy,10543932399,1151,2021,263598310.0
Techno Gamerz,36600000,Gaming,10503671551,990,2017,262591789.0
Sourav Joshi Vlogs,23200000,People & Blogs,10473783448,1498,2019,261844586.0
unknown boy varun,25700000,Music,10354875277,532,2016,258871882.0
Desi Music Factory,33700000,Music,10336187494,130,2014,258404687.0
ABP MAJHA,11700000,News & Politics,10306836877,338523,2014,257670922.0
spider_man,14400000,,10223804693,1497,2022,255595117.0
Sun Bangla,9360000,Entertainment,10211634697,23969,2018,255290867.0
V6 News Telugu,9510000,News & Politics,10188775411,276117,2013,254719385.0
Thanthi TV,8990000,News & Politics,10120141082,335818,2012,253003527.0
Volga Video,16000000,Film & Animation,9921470988,16931,2012,248036775.0
TV9 Telugu Live,10800000,Entertainment,9881220410,292728,2011,247030510.0
SriBalajiMovies,17200000,Entertainment,9879966962,21720,2011,246999174.0
A2 Motivation by Arvind Arora,16100000,Entertainment,9802656350,3495,2017,245066409.0
Green Gold TV  Official Channel,20300000,Film & Animation,9778900755,1645,2011,244472519.0
Prime Video India,18900000,Entertainment,9697097382,8214,2016,242427435.0
Aayu and Pihu Show,17100000,Comedy,9658257426,468,2017,241456436.0
Manorama News,8360000,News & Politics,9592499313,442429,2014,239812483.0
Republic Bharat,18600000,News & Politics,9578413074,113547,2019,239460327.0
The geeta gurjar,15500000,,9478474198,916,2021,236961855.0
Akshay Nagwadiya,28400000,Entertainment,9472946586,702,2017,236823665.0
Goldmines Bollywood,27800000,Film & Animation,9139345654,3976,2015,228483641.0
Goldmines Dishoom,29300000,Film & Animation,9122917712,4220,2016,228072943.0
THE BROWN SIBLINGS,15600000,Entertainment,9024175039,1090,2016,225604376.0
Pop Chartbusters,17400000,Music,9018407389,2253,2011,225460185.0
VENDY YADUWANSHI,12800000,Entertainment,8991011347,920,2020,224775284.0
STAR à¤­à¤¾à¤°à¤¤,12500000,People & Blogs,8970779133,18133,2007,224269478.0
News 24,18200000,News & Politics,8962817801,247739,2014,224070445.0
jaanvi patel,20300000,People & Blogs,8895933993,537,2018,222398350.0
Wow Kidz Action,20100000,Film & Animation,8768688605,1998,2017,219217215.0
Vijay Kumar Viner Vlogs,16100000,Entertainment,8766497143,1565,2019,219162429.0
RS 1313 SHORTS,15300000,Entertainment,8733947418,6007,2020,218348685.0
Right to Shiksha,13800000,Education,8665159179,2282,2020,216628979.0
Harpreet SDC,11500000,Entertainment,8585499858,2361,2019,214637496.0
prashu__baby,9360000,Entertainment,8582905814,933,2011,214572645.0
Infobells Bangla,16900000,Education,8546803602,389,2016,213670090.0
ABPLIVE,26200000,People & Blogs,8543866172,194743,2017,213596654.0
Netflix India,22600000,People & Blogs,8442880628,3903,2016,211072016.0
deepesh zo,19900000,People & Blogs,8325886723,674,2021,208147168.0
Raj Grover,10900000,Entertainment,8287682418,538,2021,207192060.0
Busy Fun Ltd,19600000,,8258917681,220,2019,206472942.0
Shemaroo Movies,29900000,Entertainment,8218556187,3146,2011,205463905.0
Sony LIV,16700000,Entertainment,8169728974,13529,2014,204243224.0
Crazy XYZ,28400000,Entertainment,8143307355,1294,2017,203582684.0
Saregama TV Shows Tamil,7430000,People & Blogs,8109151098,21157,2018,202728777.0
Anand Audio,11100000,Music,8094050544,5182,2011,202351264.0
Fun For Kids TV  Hindi Rhymes,18300000,Entertainment,8090223661,172,2017,202255592.0
Pari's Lifestyle,12600000,People & Blogs,7942249601,490,2018,198556240.0
Zee Kids,13000000,Film & Animation,7928542223,1231,2012,198213556.0
NTV Telugu,7760000,News & Politics,7899175161,310214,2014,197479379.0
Sonotek,19400000,Entertainment,7718244709,8318,2011,192956118.0
NMF News,17000000,News & Politics,7683956203,117548,2013,192098905.0
ETV Dhee,10500000,People & Blogs,7661079943,4625,2017,191526999.0
Kiddiestv Hindi  Nursery Rhymes & Kids Songs,21000000,Education,7590088688,235,2017,189752217.0
Anupam Movie Songs,11500000,Music,7530071970,3081,2018,188251799.0
Paayal Tena Short Videos,10500000,People & Blogs,7470192906,926,2021,186754823.0
mallemalatv,8490000,Entertainment,7424298434,12642,2014,185607461.0
CHANDAN ART ACADEMY,9810000,Education,7264632321,1821,2016,181615808.0
VikatanTV,7300000,Shows,7238036484,21172,2011,180950912.0
TeluguOne,9820000,Comedy,7221011069,48320,2006,180525277.0
123 GO! Hindi,10700000,Entertainment,7076750965,573,2019,176918774.0
LIV Comedy,11600000,Entertainment,7048287601,11605,2020,176207190.0
Pen Movies,25300000,Film & Animation,7024975489,1669,2014,175624387.0
Ruh,12400000,People & Blogs,7003489389,1123,2021,175087235.0
infobells  Kannada,14900000,Education,6988612034,465,2014,174715301.0
sagar kalra (Shorts),17200000,People & Blogs,6920890934,481,2017,173022273.0
SVF,11700000,Music,6883757819,3436,2006,172093945.0
Kids TV India Hindi Nursery Rhymes,14200000,Shows,6877700508,1646,2014,171942513.0
NDTV India,15400000,News & Politics,6827577879,100848,2008,170689447.0
Mukesh jaiswal,10800000,People & Blogs,6731242307,1184,2017,168281058.0
Sangeeth Kumar,10400000,People & Blogs,6700823417,789,2021,167520585.0
Akash Parihar,9400000,People & Blogs,6639170575,646,2021,165979264.0
Bihari Ladka,11300000,Gaming,6636019514,585,2017,165900488.0
SagaHits,12000000,Music,6586335903,3037,2010,164658398.0
Voot,8740000,People & Blogs,6562923597,25040,2016,164073090.0
SRK MUSIC,15600000,Music,6559926146,5139,2012,163998154.0
Samayra Narula Official,11100000,People & Blogs,6528941665,1113,2020,163223542.0
Noman Official,18300000,Comedy,6505297178,671,2019,162632429.0
MY FAMILY,16300000,,6469402962,296,2019,161735074.0
Vikram Singh Fitness,6920000,Sports,6458308970,9291,2018,161457724.0
Village Cooking Channel,22900000,Howto & Style,6430499374,219,2018,160762484.0
Enterr10 Rangeela,12800000,Entertainment,6388676773,5057,2017,159716919.0
Paytm,571000,People & Blogs,6377423330,698,2013,159435583.0
Nirahua Music World,12400000,Music,6376236538,819,2014,159405913.0
Artist Shikha Sharma,9570000,Entertainment,6339597151,1552,2019,158489929.0
Zee 24 Taas,8030000,News & Politics,6332597345,321874,2010,158314934.0
asianetnews,8410000,News & Politics,6291104809,237083,2008,157277620.0
Mor Haryanvi,12200000,Music,6290297552,414,2015,157257439.0
Shalimar Telugu & Hindi Movies,8340000,Entertainment,6246222013,81319,2013,156155550.0
ADHARV & COUSINS JOURNEY,6330000,Entertainment,6234588063,971,2020,155864702.0
TSeries Telugu,8700000,Music,6155457745,6108,2014,153886444.0
Jass Records,13000000,Music,6148596896,5290,2014,153714922.0
Galatta Tamil,7670000,Entertainment,6123239804,72049,2010,153080995.0
Ankita Bhawsar,12100000,People & Blogs,6110707996,718,2017,152767700.0
Shivam Malik,8770000,Education,6065999249,5423,2012,151649981.0
Sidharrth TV,8180000,Entertainment,6021912360,16318,2016,150547809.0
MR. INDIAN HACKER,33500000,Science & Technology,6012094277,947,2012,150302357.0
Asli Mona Official,11400000,Comedy,5980782514,841,2021,149519563.0
Priyankka Tyagi,9760000,Comedy,5908036750,704,2021,147700919.0
Colors Bangla,10000000,Entertainment,5856727201,53129,2010,146418180.0
Total Gaming,36700000,Gaming,5825073909,1254,2018,145626848.0
Venus Entertainment,24700000,Entertainment,5803956507,1934,2010,145098913.0
Kanak News,7150000,News & Politics,5735126913,233217,2011,143378173.0
Oggy Hindi,10800000,Entertainment,5725525143,497,2019,143138129.0
Palli Gram TV,8770000,,5710025518,332,2017,142750638.0
Ketan mehta,8900000,People & Blogs,5667904011,1069,2020,141697600.0
Peppa Pig Hindi,11900000,Film & Animation,5633890993,983,2018,140847275.0
Suyash Vlogs,5440000,Entertainment,5631285875,1666,2015,140782147.0
Goldmines Great Indian Comedy,20500000,Film & Animation,5608091853,3418,2016,140202296.0
Pradeep life vlogs,11400000,Entertainment,5552058221,851,2016,138801456.0
PuthiyathalaimuraiTV,9930000,News & Politics,5543551603,288840,2012,138588790.0
Dharma Productions,10600000,Film & Animation,5456343401,1448,2010,136408585.0
RS 1313 LIVE,7050000,Gaming,5452148933,7917,2020,136303723.0
Masha and the Bear,12300000,Film & Animation,5426233281,1047,2017,135655832.0
Awez Darbar,11700000,Entertainment,5425177440,847,2014,135629436.0
aman dancer real,10600000,Entertainment,5423177382,391,2020,135579435.0
Sathiyam News,5810000,News & Politics,5412861274,212870,2015,135321532.0
INDIA EAT MANIA,6100000,Entertainment,5399584024,1841,2019,134989601.0
TSeries Regional,14400000,Entertainment,5377706460,15088,2011,134442662.0
ChuChuTV Hindi,11800000,Education,5325217896,384,2018,133130447.0
Chimkandi,11400000,Comedy,5319283069,362,2016,132982077.0
Gauravaroravlogs,5950000,Entertainment,5316083900,1404,2015,132902098.0
LIV Kids Hindi,9030000,Education,5315250631,2265,2016,132881266.0
infobells,14000000,Education,5310760258,524,2011,132769006.0
Adaah Queen,13200000,Entertainment,5300953725,503,2020,132523843.0
Kurulus Osman Urdu by atv,7870000,Entertainment,5287417937,6730,2021,132185448.0
Jugnu Kids  Nursery Rhymes and Best Baby Songs,12800000,Education,5273900578,4875,2015,131847514.0
Wave Music Bhakti,12800000,Music,5257995999,20170,2011,131449900.0
Foodie Incarnate,5440000,People & Blogs,5255457400,965,2016,131386435.0
Ayan Mechanic,4990000,Science & Technology,5197123802,1374,2020,129928095.0
zoom,7430000,Entertainment,5193441077,92671,2007,129836027.0
NDTV,12800000,Entertainment,5193339875,158627,2006,129833497.0
NEXT9NEWS,11500000,Entertainment,5187640914,144291,2014,129691023.0
VYRLOriginals,12000000,Music,5141583511,255,2015,128539588.0
RDC Gujarati,11800000,Music,5092313394,8837,2013,127307835.0
ARE YOU HUNGRY,7370000,Entertainment,5070990589,999,2020,126774765.0
MyMissAnand,13700000,People & Blogs,5064994503,355,2014,126624863.0
Rathore Cassettes,12600000,Music,5046745905,5895,2013,126168648.0
utkal cartoonworld,7610000,,5036199001,640,2008,125904975.0
Hungry Birds,9460000,Education,5035791026,502,2016,125894776.0
Bindass Kavya,10900000,,5012697714,662,2017,125317443.0
UP Tak,9000000,News & Politics,4967698051,42918,2018,124192451.0
Taarak Mehta Ka Ooltah Chashmah Episodes,3030000,Comedy,4952752471,9499,2020,123818812.0
Sonam Prajapati team,8830000,People & Blogs,4952212120,1479,2019,123805303.0
RKD Studios,20600000,Entertainment,4938476796,828,2014,123461920.0
seeVi la,4690000,Comedy,4918570247,4183,2015,122964256.0
Telugu Filmnagar,12400000,Entertainment,4912691838,28055,2011,122817296.0
Saregama Hum Bhojpuri,12500000,Music,4890531759,1259,2019,122263294.0
IndiaGlitz Tamil,6740000,Entertainment,4884210310,42125,2010,122105258.0
Saas Bahu Aur Betiyaan,6670000,People & Blogs,4878824332,40770,2015,121970608.0
CHINNU_6542,5540000,Entertainment,4866543092,851,2015,121663577.0
Sandeep Bhatt Vlogs,7740000,People & Blogs,4841201960,1059,2020,121030049.0
ChuChuTV Learning with Surprise Eggs,8230000,Education,4839135972,313,2015,120978399.0
Crafter Aditi,10100000,Howto & Style,4831197529,1139,2014,120779938.0
BB Ki Vines,26300000,Entertainment,4825681963,190,2015,120642049.0
Gem Tunes Haryanvi,2800000,Entertainment,4824299790,825,2017,120607495.0
Single Track Studio,11900000,Entertainment,4815884779,1746,2010,120397119.0
The MriDul,16000000,Comedy,4807676871,132,2015,120191922.0
Lokdhun Punjabi,13200000,Music,4791627869,1182,2010,119790697.0
Oneindia Hindi,12000000,News & Politics,4747207546,149469,2015,118680189.0
News Nation,11600000,News & Politics,4738139564,146245,2012,118453489.0
Cute Shivani,12800000,People & Blogs,4634777306,732,2021,115869433.0
Times Music,12400000,Music,4625780578,2456,2010,115644514.0
ChuChuTV Bangla,7710000,,4568902185,302,2019,114222555.0
BLUE BOX,6080000,,4558224603,474,2020,113955615.0
Koo Koo TV  Hindi,12100000,Education,4551807973,1221,2017,113795199.0
Abhay Bhadoriya,9880000,Entertainment,4524154897,1837,2018,113103872.0
CKM,12500000,Comedy,4517883267,120,2018,112947082.0
Indore Physical Academy,15300000,People & Blogs,4496356052,2020,2014,112408901.0
StudyIQ IAS,15600000,Education,4482415247,46169,2015,112060381.0
TV5 News,4770000,News & Politics,4477118856,259617,2011,111927971.0
Sanjoy Das Official,14900000,Entertainment,4475305190,1852,2015,111882630.0
Sumeet Music,7300000,Entertainment,4465306910,2920,2013,111632673.0
Hindustan Times,6160000,News & Politics,4464797713,54449,2005,111619943.0
WION,8180000,News & Politics,4442597823,122687,2016,111064946.0
Chetak,10500000,Music,4420465731,11731,2011,110511643.0
Pjdivya Official,9210000,People & Blogs,4384635983,1189,2014,109615900.0
Nisha Lambha,6370000,,4368174272,15460,2012,109204357.0
Mahesh Chavan,8330000,Entertainment,4347856040,1056,2015,108696401.0
shuaib011,11600000,Entertainment,4296330015,601,2020,107408250.0
Google India,8150000,People & Blogs,4291784901,730,2007,107294623.0
RS 1313 SHORT STORIES,6310000,Entertainment,4288556400,8462,2020,107213910.0
The BN Family,3680000,Entertainment,4285822462,1160,2013,107145562.0
Multi DO Challenge Hindi,8730000,,4266311784,463,2020,106657795.0
Movie Talkies,6980000,Entertainment,4232011990,42240,2008,105800300.0
shadab5star,11300000,Entertainment,4209266177,809,2020,105231654.0
Akash Sagar,4030000,Comedy,4189007455,791,2017,104725186.0
FilterCopy,10000000,Comedy,4163323586,922,2015,104083090.0
Hindi Kahaniya,10800000,Film & Animation,4148988962,1032,2018,103724724.0
MaJa Tv Moral Stories Fairy Tales,11100000,Entertainment,4132213251,449,2017,103305331.0
FACT BOY,9170000,,4123931059,1070,2021,103098276.0
ETV Andhra Pradesh,5810000,News & Politics,4112044846,359240,2011,102801121.0
News Tak,10100000,News & Politics,4094106089,51722,2017,102352652.0
Tirth Parsana,3630000,Film & Animation,4088372506,2035,2017,102209313.0
The noodles girl,10000000,People & Blogs,4087352304,633,2020,102183808.0
SMOL Hindi,4870000,Entertainment,4080483418,2191,2021,102012085.0
Trimurti Cassettes,9220000,Entertainment,4079322922,5524,2012,101983073.0
NH Studioz,13000000,Film & Animation,4044458764,3122,2011,101111469.0
Reshmi Jaiswal,6910000,People & Blogs,4041635109,630,2021,101040878.0
SR Toys Collection,12200000,Entertainment,4033176164,984,2012,100829404.0
vlogger varun,11100000,Entertainment,3982893528,412,2018,99572338.0
Varsha Singh Rajput,6490000,Entertainment,3959337735,580,2014,98983443.0
Tamil cinema,7310000,Film & Animation,3955071488,6364,2015,98876787.0
Rachit Rojha,12800000,Entertainment,3952782029,202,2016,98819551.0
Sufiyan and Nida,5860000,Entertainment,3939508123,1476,2020,98487703.0
Tech Master Shorts,7950000,People & Blogs,3934602626,779,2021,98365066.0
MK Studio,9260000,Music,3924314533,171,2016,98107863.0
Sonotek Bhakti,13600000,Entertainment,3912146487,8232,2010,97803662.0
Bollygrad Studioz,8690000,Music,3903083219,66139,2014,97577080.0
Vivek Bhardwaj,11100000,,3902374560,605,2021,97559364.0
Flying Beast,8650000,People & Blogs,3898492903,1536,2017,97462323.0
Dream Stories TV Adventure,9680000,,3885540814,486,2019,97138520.0
ETV Plus India,5160000,Comedy,3876047316,30500,2013,96901183.0
Haste Raho,10300000,Comedy,3867509555,1807,2018,96687739.0
BhavaniHD Movies,8020000,Entertainment,3854694087,34818,2016,96367352.0
M4 Tech,12300000,Entertainment,3850447171,581,2017,96261179.0
Zidaan Shahid Aly,8000000,People & Blogs,3848520924,2342,2021,96213023.0
Ayngaran,5490000,Music,3848155438,20324,2006,96203886.0
Pen  Bhakti,7780000,Music,3845762245,5547,2019,96144056.0
SumanTV,7420000,Entertainment,3815805958,66491,2013,95395149.0
Sony Marathi,4000000,Entertainment,3805756588,40410,2018,95143915.0
TellyMasala,6650000,Entertainment,3799303291,35851,2014,94982582.0
Shemaroo Kids,8790000,Entertainment,3776161981,2373,2009,94404050.0
hmtv News,4240000,News & Politics,3767374453,258499,2014,94184361.0
Zee Music Marathi,6720000,Music,3751200743,3077,2014,93780019.0
So Saute,3210000,Howto & Style,3750290551,1337,2020,93757264.0
Anjali Dhariwal,10200000,People & Blogs,3740727959,611,2018,93518199.0
Chapati Hindustani Gamer,8340000,Gaming,3739716930,1685,2017,93492923.0
Samsung India,4950000,Science & Technology,3731200968,1966,2009,93280024.0
CURIO,5890000,,3708889466,220,2021,92722237.0
Mad 4 Music,7780000,Music,3704637113,3055,2011,92615928.0
Emiway Bantai,20700000,Music,3693353462,245,2013,92333837.0
Fine Digital Haryanvi,6820000,,3685262023,2614,2018,92131551.0
Navbharat Times,9030000,News & Politics,3642879145,73034,2014,91071979.0
SureshProductions,6490000,Entertainment,3634673529,6505,2009,90866838.0
Sonam Prajapati,8200000,Entertainment,3606031875,1814,2014,90150797.0
Mathrubhumi News,4120000,News & Politics,3590272474,168053,2013,89756812.0
Crime Tak,8360000,News & Politics,3589171791,21645,2018,89729295.0
Triggered Insaan,20700000,Comedy,3583725818,313,2014,89593145.0
shagun style,7510000,People & Blogs,3580670687,635,2018,89516767.0
Muzik247,5820000,Music,3579436638,2612,2014,89485916.0
90's Gaane,8010000,Music,3574346183,623,2019,89358655.0
Payal Panchal,9790000,Comedy,3574226640,320,2019,89355666.0
Mr Gyani Facts,5920000,,3572629211,452,2020,89315730.0
We r Loser,5010000,Comedy,3571876153,688,2020,89296904.0
BakLol Video,11600000,Entertainment,3568592160,332,2016,89214804.0
Geetha Arts,6090000,Entertainment,3561787524,4368,2008,89044688.0
Mridul Madhok,8400000,Education,3539829024,3131,2010,88495726.0
Nav Haryanvi,9630000,Music,3525985646,776,2017,88149641.0
Anaysa,13500000,Howto & Style,3525867138,641,2012,88146678.0
Technical Guruji,23300000,Science & Technology,3508044014,5201,2015,87701100.0
CarryMinati,40600000,Comedy,3485611082,189,2014,87140277.0
The Live Tv,7220000,News & Politics,3479051603,11432,2018,86976290.0
REHKAN OFFICIAL,6040000,People & Blogs,3472924740,1234,2018,86823118.0
Kia India,428000,,3440232802,520,2017,86005820.0
Saregama Tamil,6580000,Music,3399926748,7756,2012,84998169.0
Pen Multiplex,11800000,Film & Animation,3399715942,2851,2015,84992899.0
Ambey Bhakti,10800000,Music,3398984378,5925,2013,84974609.0
foodies aao,4990000,People & Blogs,3397058937,930,2020,84926473.0
Angle Music Official Channel,8880000,Entertainment,3387975977,13984,2014,84699399.0
Wunderbar Films,5850000,Film & Animation,3362271731,710,2014,84056793.0
Shemaroo TV,7310000,People & Blogs,3360200925,8665,2020,84005023.0
Amazon India,1540000,Entertainment,3359675045,1555,2013,83991876.0
